day.of.week,occ,Interval
Friday,14,7am-9am
Monday,21,7am-9am
Thursday,31,7am-9am
Tuesday,35,7am-9am
Wednesday,29,7am-9am
Friday,22,10am-12pm
Monday,36,10am-12pm
Thursday,52,10am-12pm
Tuesday,52,10am-12pm
Wednesday,44,10am-12pm
Friday,22,12pm-1pm
Monday,35,12pm-1pm
Thursday,52,12pm-1pm
Tuesday,53,12pm-1pm
Wednesday,47,12pm-1pm
Friday,20,2pm-3pm
Monday,31,2pm-3pm
Thursday,43,2pm-3pm
Tuesday,46,2pm-3pm
Wednesday,44,2pm-3pm
Friday,4,4pm-6pm
Monday,7,4pm-6pm
Thursday,10,4pm-6pm
Tuesday,10,4pm-6pm
Wednesday,9,4pm-6pm
