Region,Region Name,Building Code,Region,Building Name,Building Address 1,Building Address 2,City,State,Zip,County,Municipality,Country,Latitude,Longitude,Ownership,Building Status,Building Class,Primary Use,Employees,,Seating Capacity,Estimated GSF,
M11,REGION 11 Southwestern PA,PSFD,11,500 Smithfield,500 Smithfield St,,Pittsburgh,PA,15222-2200,Allegheny County,City of Pittsburgh,United States of America,40.44016957,-79.99849252,Owned,Active,Office,Operations Center,820,each,862,152533.0883,square-feet
M11,REGION 11 Southwestern PA,YB35,11,Allegheny Center,116 Allegheny Ctr,,Pittsburgh,PA,15212-5356,Allegheny County,City of Pittsburgh,United States of America,40.4505,-80.0047,Leased,Active,Office,Operations Center,1192,each,"1,629",390960.91,square-feet
M11,REGION 11 Southwestern PA,PA24,11,Allegheny County Airport Hangar 24,Allegheny County Airport,,West Mifflin,PA,15122-2674,Allegheny County,Borough of West Mifflin,United States of America,40.3544,-79.9303,Groundlease,Active,Other,Hangar,17,each,14,45101.33,square-feet
M11,REGION 11 Southwestern PA,YMK3,11,Belle Vernon - 780 Tri County Ln,780 Tri County Ln,,Belle Vernon,PA,15012-1987,Westmoreland County,Washington Township,United States of America,40.138057,-79.842378,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,60,square-feet
M11,REGION 11 Southwestern PA,YMGU,11,Belle Vernon PA - Mortgage Desk,433 Broad Ave,,Belle Vernon,PA,15012-1403,Westmoreland County,Washington Township,United States of America,40.1299,-79.867,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,100,square-feet
M11,REGION 11 Southwestern PA,P058,11,Beverly Road,291 Beverly Rd,,Pittsburgh,PA,15216-1423,Allegheny County,Mount Lebanon Borough,United States of America,40.388822,-80.049214,Groundlease,Active,Office,General Office,4,each,5,2967.39,square-feet
M11,REGION 11 Southwestern PA,YMK4,11,Finleyville - Marion Avenue,3526 Marion Ave,,Finleyville,PA,15332-1366,Washington County,Finleyville Borough,United States of America,40.25216,-80.00431,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,60,square-feet
M11,REGION 11 Southwestern PA,PFSC,11,Firstside Center,500 1st Ave,,Pittsburgh,PA,15219-3128,Allegheny County,City of Pittsburgh,United States of America,40.43639,-79.998643,Groundlease,Active,Office,Operations Center,1899,each,"2,267",648915.69,square-feet
M11,REGION 11 Southwestern PA,PFSC_PA,11,Firstside Park,100 Grant Ave,,Pittsburgh,PA,15223-1844,Allegheny County,City of Pittsburgh,United States of America,40.436576,-79.998633,Owned,Active,Other,Park,0,each,0,1,square-feet
M11,REGION 11 Southwestern PA,P592,11,Greensburg South Main Street,125 S Main St,,Greensburg,PA,15601-3101,Westmoreland County,City of Greensburg,United States of America,40.302213,-79.544128,Owned,Active,Office,General Office with Branch,17,each,37,23859.81,square-feet
M11,REGION 11 Southwestern PA,PWLC,11,Liberty Commons - CLC,2730 Liberty Ave,,Pittsburgh,PA,15222-4704,Allegheny County,City of Pittsburgh,United States of America,40.455575,-79.975701,Leased,Active,Office,Operations Center,1065,each,"1,343",195796.19,square-feet
M11,REGION 11 Southwestern PA,P679,11,Ligonier WM,204 E Main St,,Ligonier,PA,15658-1318,Westmoreland County,Ligonier Borough,United States of America,40.242306,-79.236338,Leased,Active,Office,General Office with Branch,7,each,8,2556.78,square-feet
M11,REGION 11 Southwestern PA,POPP,11,One PNC Plaza,249 5th Ave,,Pittsburgh,PA,15222-2707,Allegheny County,City of Pittsburgh,United States of America,40.441173,-80.0012,Owned,Active,Office,General Office,1096,each,"2,302",659261.31,square-feet
M11,REGION 11 Southwestern PA,PRDC,11,Pittsburgh Data Center,35 Summit Park Dr,,Pittsburgh,PA,15275-1110,Allegheny County,North Fayette Township,United States of America,40.450664,-80.18962,Owned,Active,Office,Data Center,123,each,123,120932.0265,square-feet
M11,REGION 11 Southwestern PA,P509,11,PNC Center - Stanwix,20 Stanwix St,,Pittsburgh,PA,15222-4803,Allegheny County,City of Pittsburgh,United States of America,40.438628,-80.005465,Leased,Active,Office,General Office,354,each,417,107072.38,square-feet
M11,REGION 11 Southwestern PA,P335,11,PNC Inv - Southpointe,375 Southpointe Blvd,,Canonsburg,PA,15317-8587,Washington County,Borough of Canonsburg,United States of America,40.293761,-80.17452,Leased,Active,Office,General Office,8,each,11,5181.23,square-feet
M11,REGION 11 Southwestern PA,PTWR,11,The Tower at PNC Plaza,300 5th Avenue,,Pittsburgh,PA,15222-2401,Allegheny County,City of Pittsburgh,United States of America,40.440521,-80.00029,Owned,Active,Office,General Office,1822,each,"2,238",787244.08,square-feet
M11,REGION 11 Southwestern PA,P3PP,11,Three PNC Plaza,225 5th Ave,,Pittsburgh,PA,15222-2724,Allegheny County,City of Pittsburgh,United States of America,40.441243,-80.001367,Owned,Active,Office,General Office with Branch,352,each,448,791129.2575,square-feet
M11,REGION 11 Southwestern PA,PTRI,11,Triangle Park,501 Market St,,Pittsburgh,PA,15222-1819,Allegheny County,City of Pittsburgh,United States of America,40.441597,-80.00222,Owned,Active,Other,Park,0,each,1,1000,square-feet
M11,REGION 11 Southwestern PA,PTPP,11,Two PNC Plaza,620 Liberty Ave,,Pittsburgh,PA,15222-2719,Allegheny County,City of Pittsburgh,United States of America,40.442031,-80.000947,Owned,Active,Office,General Office,1552,each,"2,680",609847.2837,square-feet
M11,REGION 11 Southwestern PA,PUSX,11,US Steel Tower,600 Grant St,,Pittsburgh,PA,15219-2702,Allegheny County,City of Pittsburgh,United States of America,40.440791,-79.995648,Leased,Active,Office,General Office with Branch,1306,each,"1,253",206960.49,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F070,12,1600 Market Street,1600 Market St,,Philadelphia,PA,19103-7240,Philadelphia County,Philadelphia,United States of America,39.952788,-75.167385,Leased,Active,Office,General Office with Branch,807,each,"1,331",378666.43,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,FWNG,12,2 Walnut Grove - Horsham,2 Walnut Grove Dr,Suite 200,Horsham,PA,19044-7704,Montgomery County,Horsham Township,United States of America,40.167473,-75.143799,Leased,Active,Office,General Office,37,each,40,11167.14057,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,W222,12,222 Delaware Avenue,222 Delaware Ave,,Wilmington,DE,19801-1621,New Castle County,Wilmington,United States of America,39.74661,-75.550162,Leased,Active,Office,General Office,41,each,53,28388.26,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,W300,12,300 Delaware Avenue,300 Delaware Ave,,Wilmington,DE,19801-1607,New Castle County,Wilmington,United States of America,39.746767,-75.550382,Leased,Active,Office,General Office with Branch,138,each,234,90124.91,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,PBBW,12,Blue Bell PA-Wealth Management,860 Penllyn Pike,Suites 110 and 211-239,Blue Bell,PA,19422-1676,Montgomery County,Whitpain Township,United States of America,40.173,-75.240128,Leased,Active,Office,General Office,20,each,35,7329.97,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,JCHH,12,Cherry Hill - 1950 East Route 70,1950 Marlton Pike E,,Cherry Hill,NJ,08003-2152,Camden County,Cherry Hill Twp,United States of America,39.901178,-74.961331,Owned,Active,Office,General Office,76,each,110,37433,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F084,12,Doylestown Ag Works,100 S Main St,,Doylestown,PA,18901-4900,Bucks County,Doylestown Borough,United States of America,40.307827,-75.129663,Leased,Active,Office,General Office,32,each,32,11793.89859,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F166,12,Eastwick Center,8800 Tinicum Blvd,,Philadelphia,PA,19153-3111,Philadelphia County,Philadelphia,United States of America,39.886606,-75.246653,Leased,Active,Office,Operations Center,679,each,"1,743",446812.3429,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,J657,12,Moorestown Ops Ctr,312 W Route 38,Route 38 & Eastgate Drive,Moorestown,NJ,08057-3212,Burlington County,Moorestown Twp,United States of America,39.949463,-74.956388,Owned,Active,Office,Operations Center,191,each,400,77545.51,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,FNHP,12,New Hope PA - Capital Markets,400 S. River Rd,Suite 300,New Hope,PA,18938-2255,Bucks County,Borough of New Hope,United States of America,40.3512,-74.948,Leased,Active,Office,General Office,14,each,23,6532.067488,square-feet
