hour,day.of.week,occ
6,Friday,3
7,Friday,15
8,Friday,38
9,Friday,50
10,Friday,56
11,Friday,54
12,Friday,55
13,Friday,53
14,Friday,52
15,Friday,45
16,Friday,23
17,Friday,5
18,Friday,1
6,Monday,5
7,Monday,22
8,Monday,56
9,Monday,77
10,Monday,89
11,Monday,85
12,Monday,88
13,Monday,83
14,Monday,79
15,Monday,73
16,Monday,42
17,Monday,9
18,Monday,3
6,Thursday,8
7,Thursday,36
8,Thursday,81
9,Thursday,110
10,Thursday,124
11,Thursday,130
12,Thursday,133
13,Thursday,122
14,Thursday,114
15,Thursday,100
16,Thursday,56
17,Thursday,13
18,Thursday,2
6,Tuesday,9
7,Tuesday,46
8,Tuesday,96
9,Tuesday,118
10,Tuesday,122
11,Tuesday,126
12,Tuesday,137
13,Tuesday,125
14,Tuesday,122
15,Tuesday,106
16,Tuesday,55
17,Tuesday,14
18,Tuesday,3
6,Wednesday,7
7,Wednesday,39
8,Wednesday,76
9,Wednesday,101
10,Wednesday,107
11,Wednesday,107
12,Wednesday,113
13,Wednesday,116
14,Wednesday,114
15,Wednesday,101
16,Wednesday,54
17,Wednesday,9
18,Wednesday,3
