hour,day.of.week,occ
6,Friday,0.864320358
7,Friday,6.068634095
8,Friday,15.40676305
9,Friday,20.31355258
10,Friday,22.51209505
11,Friday,21.67283951
12,Friday,22.21541102
13,Friday,21.29561597
14,Friday,20.85264133
15,Friday,17.94312087
16,Friday,9.115954451
17,Friday,2.001836547
18,Friday,0.12855831
6,Monday,1.911927963
7,Monday,8.622582552
8,Monday,22.53683045
9,Monday,31.04933438
10,Monday,35.97407581
11,Monday,34.37513453
12,Monday,35.74676014
13,Monday,33.61732791
14,Monday,31.81914309
15,Monday,29.53324379
16,Monday,16.76038607
17,Monday,3.324569587
18,Monday,1.02802954
6,Thursday,3.050259965
7,Thursday,14.59510358
8,Thursday,32.57627119
9,Thursday,44.37864744
10,Thursday,50.39924444
11,Thursday,52.61858696
12,Thursday,53.88561657
13,Thursday,49.32631849
14,Thursday,46.21926993
15,Thursday,40.49208468
16,Thursday,22.49425216
17,Thursday,4.92028759
18,Thursday,0.578250326
6,Tuesday,3.570005578
7,Tuesday,18.29640536
8,Tuesday,38.91919047
9,Tuesday,47.66710494
10,Tuesday,49.25836371
11,Tuesday,51.16453794
12,Tuesday,55.62462744
13,Tuesday,50.67916094
14,Tuesday,49.51089755
15,Tuesday,43.04923195
16,Tuesday,22.28979713
17,Tuesday,5.55175656
18,Tuesday,0.901336882
6,Wednesday,2.691105253
7,Wednesday,15.53416266
8,Wednesday,30.5189633
9,Wednesday,41.02437214
10,Wednesday,43.38933988
11,Wednesday,43.12787374
12,Wednesday,45.78741122
13,Wednesday,46.9262797
14,Wednesday,45.9777152
15,Wednesday,40.76635857
16,Wednesday,21.93390453
17,Wednesday,3.643981717
18,Wednesday,1.005614682
