,day,interval,occ
1,Friday,7am-9am,15
2,Thursday,7am-9am,32
3,Wednesday,7am-9am,13
4,Tuesday,7am-9am,26
5,Monday,7am-9am,16
6,Friday,10am-12pm,20
7,Thursday,10am-12pm,49
8,Wednesday,10am-12pm,21
9,Tuesday,10am-12pm,38
10,Monday,10am-12pm,27
11,Friday,12pm-1pm,18
12,Thursday,12pm-1pm,48
13,Wednesday,12pm-1pm,22
14,Tuesday,12pm-1pm,39
15,Monday,12pm-1pm,27
16,Friday,2pm-3pm,14
17,Thursday,2pm-3pm,44
18,Wednesday,2pm-3pm,23
19,Tuesday,2pm-3pm,35
20,Monday,2pm-3pm,25
21,Friday,4pm-6pm,2
22,Thursday,4pm-6pm,9
23,Wednesday,4pm-6pm,5
24,Tuesday,4pm-6pm,9
25,Monday,4pm-6pm,8
