,day,seat,occ
1,Friday,31-100,0
2,Monday,31-100,45.7
3,Tuesday,31-100,54
4,Thursday,31-100,69.4
5,Wednesday,31-100,66.8
6,Friday,31-102,0
7,Monday,31-102,0
8,Tuesday,31-102,22.7
9,Thursday,31-102,48.1
10,Wednesday,31-102,31.1
11,Friday,31-103,60.5
12,Monday,31-103,46.8
13,Tuesday,31-103,61.1
14,Thursday,31-103,63.9
15,Wednesday,31-103,56.5
16,Friday,31-104,0
17,Monday,31-104,0
18,Tuesday,31-104,58.9
19,Thursday,31-104,48.2
20,Wednesday,31-104,38.7
21,Friday,31-105,0
22,Monday,31-105,18.1
23,Tuesday,31-105,63.5
24,Thursday,31-105,31.2
25,Wednesday,31-105,58.5
26,Friday,31-106,57.9
27,Monday,31-106,29.5
28,Tuesday,31-106,0
29,Thursday,31-106,40.5
30,Wednesday,31-106,54
31,Friday,31-108,0
32,Monday,31-108,0
33,Tuesday,31-108,15.1
34,Thursday,31-108,53.4
35,Wednesday,31-108,52.8
36,Friday,31-109,0
37,Monday,31-109,0
38,Tuesday,31-109,23.9
39,Thursday,31-109,60.3
40,Wednesday,31-109,58.7
41,Friday,31-110,66.2
42,Monday,31-110,50.5
43,Tuesday,31-110,67.1
44,Thursday,31-110,70
45,Wednesday,31-110,72.3
46,Friday,31-111,40.9
47,Monday,31-111,35.1
48,Tuesday,31-111,60.9
49,Thursday,31-111,70.9
50,Wednesday,31-111,39.5
51,Friday,31-112,67.8
52,Monday,31-112,17.5
53,Tuesday,31-112,68.2
54,Thursday,31-112,68.6
55,Wednesday,31-112,69.6
56,Friday,31-113,23.8
57,Monday,31-113,15.8
58,Tuesday,31-113,59.2
59,Thursday,31-113,48.7
60,Wednesday,31-113,48.1
61,Friday,31-114,19
62,Monday,31-114,23.9
63,Tuesday,31-114,56.2
64,Thursday,31-114,56.7
65,Wednesday,31-114,57.2
66,Friday,31-115,0
67,Monday,31-115,18.2
68,Tuesday,31-115,47.9
69,Thursday,31-115,60.4
70,Wednesday,31-115,61.9
71,Friday,31-116,22.5
72,Monday,31-116,17.1
73,Tuesday,31-116,53
74,Thursday,31-116,64.4
75,Wednesday,31-116,40.4
76,Friday,31-117,0
77,Monday,31-117,0
78,Tuesday,31-117,18.9
79,Thursday,31-117,60.3
80,Wednesday,31-117,70.7
81,Friday,31-118,65.6
82,Monday,31-118,50.4
83,Tuesday,31-118,71.5
84,Thursday,31-118,72.2
85,Wednesday,31-118,68
86,Friday,31-21,0
87,Monday,31-21,0
88,Tuesday,31-21,18.6
89,Thursday,31-21,24.7
90,Wednesday,31-21,19.2
91,Friday,31-22,19.6
92,Monday,31-22,22.3
93,Tuesday,31-22,8.5
94,Thursday,31-22,24.4
95,Wednesday,31-22,61.8
96,Friday,31-23,0
97,Monday,31-23,13
98,Tuesday,31-23,2.6
99,Thursday,31-23,34.4
100,Wednesday,31-23,20.7
101,Friday,31-24,50.4
102,Monday,31-24,43.7
103,Tuesday,31-24,33.4
104,Thursday,31-24,65.7
105,Wednesday,31-24,65
106,Friday,31-25,23.5
107,Monday,31-25,28.4
108,Tuesday,31-25,55.5
109,Thursday,31-25,68.4
110,Wednesday,31-25,69.8
111,Friday,31-26,0
112,Monday,31-26,10.5
113,Tuesday,31-26,22.2
114,Thursday,31-26,41.8
115,Wednesday,31-26,60.8
116,Friday,31-28,0
117,Monday,31-28,0
118,Tuesday,31-28,34.9
119,Thursday,31-28,29.2
120,Wednesday,31-28,46
121,Friday,31-29,29.5
122,Monday,31-29,48.8
123,Tuesday,31-29,68.5
124,Thursday,31-29,72
125,Wednesday,31-29,71.2
126,Friday,31-31,0
127,Monday,31-31,0
128,Tuesday,31-31,27.9
129,Thursday,31-31,42.6
130,Wednesday,31-31,21.2
131,Friday,31-32,0
132,Monday,31-32,0
133,Tuesday,31-32,0
134,Thursday,31-32,21.2
135,Wednesday,31-32,31.9
136,Friday,31-33,0
137,Monday,31-33,3.6
138,Tuesday,31-33,5.9
139,Thursday,31-33,0
140,Wednesday,31-33,19.9
141,Friday,31-34,0
