"","day","seat","occ"
"1","Friday","33-1",0
"2","Monday","33-1",37.9
"3","Thursday","33-1",28.1
"4","Tuesday","33-1",38.2
"5","Wednesday","33-1",0
"6","Friday","33-10",11.5
"7","Monday","33-10",27
"8","Thursday","33-10",45.9
"9","Tuesday","33-10",20.2
"10","Wednesday","33-10",28.5
"11","Friday","33-100",0
"12","Monday","33-100",29.4
"13","Thursday","33-100",0
"14","Tuesday","33-100",1.7
"15","Wednesday","33-100",0
"16","Friday","33-101",0
"17","Monday","33-101",0
"18","Thursday","33-101",0
"19","Tuesday","33-101",3.3
"20","Wednesday","33-101",0
"21","Friday","33-11",38.5
"22","Monday","33-11",44.2
"23","Thursday","33-11",39.7
"24","Tuesday","33-11",29.2
"25","Wednesday","33-11",49.7
"26","Friday","33-12",57.7
"27","Monday","33-12",43.5
"28","Thursday","33-12",46.6
"29","Tuesday","33-12",20.7
"30","Wednesday","33-12",0
"31","Friday","33-13",36.4
"32","Monday","33-13",59.7
"33","Thursday","33-13",62.4
"34","Tuesday","33-13",73.7
"35","Wednesday","33-13",56.4
"36","Friday","33-14",0
"37","Monday","33-14",44
"38","Thursday","33-14",39.7
"39","Tuesday","33-14",29.2
"40","Wednesday","33-14",64.1
"41","Friday","33-15",2.8
"42","Monday","33-15",10.7
"43","Thursday","33-15",47.4
"44","Tuesday","33-15",33
"45","Wednesday","33-15",44.1
"46","Friday","33-16",0
"47","Monday","33-16",49.7
"48","Thursday","33-16",0
"49","Tuesday","33-16",0
"50","Wednesday","33-16",0
"51","Friday","33-17",0
"52","Monday","33-17",27.3
"53","Thursday","33-17",51.3
"54","Tuesday","33-17",57.3
"55","Wednesday","33-17",25.9
"56","Friday","33-18",0
"57","Monday","33-18",27.6
"58","Thursday","33-18",0
"59","Tuesday","33-18",29.5
"60","Wednesday","33-18",0
"61","Friday","33-19",63.1
"62","Monday","33-19",60.6
"63","Thursday","33-19",42.3
"64","Tuesday","33-19",58.1
"65","Wednesday","33-19",63.1
"66","Friday","33-2",35.4
"67","Monday","33-2",58
"68","Thursday","33-2",62.4
"69","Tuesday","33-2",60.1
"70","Wednesday","33-2",60
"71","Friday","33-20",0
"72","Monday","33-20",11.4
"73","Thursday","33-20",17
"74","Tuesday","33-20",18.2
"75","Wednesday","33-20",0
"76","Friday","33-21",0
"77","Monday","33-21",0
"78","Thursday","33-21",0
"79","Tuesday","33-21",0
"80","Wednesday","33-21",0
"81","Friday","33-22",0
"82","Monday","33-22",28.5
"83","Thursday","33-22",0
"84","Tuesday","33-22",0
"85","Wednesday","33-22",0
"86","Friday","33-24",0
"87","Monday","33-24",26.7
"88","Thursday","33-24",37.9
